"ecu_family","manufacturer","approximate_era","processor","architecture","endianness","firmware_size_range","processor_documentation","ghidra_support","emulator_availability","peripheral_difficulty","sample_data_availability","commercial_relevance","estimated_difficulty","notes","candidate_id","tier","decompiler_quality","toolchain_availability","interrupt_timing_complexity","public_technical_references","legal_example_availability","synthetic_fixture_difficulty","behavioral_emulation_difficulty","expert_availability","symbolic_native_angr_lifter","hard_disqualifier_first_target","evidence_confidence"
"Subaru / Nissan / Mitsubishi SH-2E engine ECUs","Denso; Hitachi; Mitsubishi Electric (Renesas/Hitachi silicon)","1998-2007","Renesas (Hitachi) SH7055 / SH7058","SuperH SH-2E (32-bit RISC, with FPU)","Big","512 KB (SH7055) to 1 MB (SH7058) internal flash","Excellent - Renesas SH-2E hardware manuals and SH-2E software manual (REJ09B0316) publicly available","PARTIAL - SuperH:BE:32:SH-2 present but built without the FPU block; SH-2E floating-point instructions will not decode (verified locally)","NONE for SH-2 - QEMU ships SH-4 only; Unicorn has no SuperH target","High - ATU-II advanced timer unit, multi-channel A/D, injector and ignition drivers, crank-angle-driven scheduling","Metadata HIGH (GPL RomRaider definitions, SubaruDefs, NissanDefinitions); firmware images remain OEM-copyrighted","High in tuning, motorsport and remanufacture; obsolete for new designs","Medium-High","Best expert-community access of any candidate. The verified SH-2 FPU decode gap is the decisive open risk and is cheap to test.","C1","1","UNMEASURED - SLEIGH language and compiler spec present","Good - mainline GCC 'sh' backend (sh-elf cross build)","High - ATU-II capture/compare, crank-synchronous","High - large open tuning and RE community","Low for firmware; High for definition metadata","Low-Medium - sh-elf cross-compiler available","High - no existing SH-2 execution engine","High","No - p-code fallback only","No","High"
"Bosch EDC17 / MED17 / ME17 (and Continental, Delphi equivalents)","Robert Bosch GmbH; Continental/Siemens VDO; Delphi (Infineon silicon)","2003-2015","Infineon TC1762 / TC1766 / TC1767 / TC1782 / TC1796 / TC1797","Infineon TriCore (32-bit unified RISC/MCU/DSP)","Little","1.5 MB to 4 MB internal flash","Good - Infineon TriCore architecture manuals and TC17xx user manuals publicly available","YES - tricore module with tc172x, tc176x, tc29x variants (verified locally)","YES - Unicorn lists TriCore; QEMU supports TriCore in system mode only","Very High - GPTA/GPT timer arrays, extensive automotive peripheral set","Low - firmware proprietary; surrounding tooling ecosystem is commercial and of mixed legal standing","Very High - largest installed base of any candidate","High","Only candidate with Ghidra AND Unicorn AND QEMU support. Held back by the absence of a mainline toolchain and the weakest legal-sample story.","C2","1","UNMEASURED","Poor - not in mainline GCC or binutils; HighTec GCC/LLVM fork required","Very High","Medium - much available material is commercial tuning output, not primary","Low","High - third-party toolchain dependency conflicts with reproducible-build goals","Medium - CPU engines already exist","Medium-High","No - p-code fallback only","No","High"
"Delphi / GM powertrain controllers (MPC5xx generation)","Delphi Corporation and others (Freescale/NXP silicon)","1998-2010","Freescale MPC555 / MPC561 / MPC565","PowerPC 32-bit (classic embedded core)","Big","448 KB to 1 MB internal flash","Excellent - NXP datasheets and reference manuals publicly available","YES - PowerPC:BE:32 family, one of Ghidra's most exercised modules (verified locally)","YES - QEMU ppc system emulation; Unicorn PowerPC","High - TPU3 microcoded timer processor, QADC, TouCAN","Low - firmware proprietary","High - Delphi used MPC561/MPC565 in GM engine controllers; MPC5xx became near-universal in GM North America powertrain by 2009","Medium","Best all-round tool support of any commercially relevant candidate, and the only one with a native angr lifter. Weakest on legal firmware samples.","C3","1","UNMEASURED but expected strong - PowerPC is heavily exercised in Ghidra","Excellent - mainline GCC powerpc-eabi","High - TPU3 microengine behaves as a second programmable processor","Medium","Low","Low - mainline cross-compiler","Medium - CPU covered by QEMU and Unicorn; TPU3 is the hard part","Medium","YES - archinfo ArchPPC32 is a native VEX lifter","No","High"
"MPC55xx / MPC56xx-based powertrain controllers","Bosch, Continental, Delphi and others (Freescale/NXP silicon)","2004-2015","MPC5534 / MPC5554 / MPC5566 / MPC56xx","Power Architecture e200 core, VLE encoding common","Big","1 MB to 4 MB internal flash","Excellent - NXP reference manuals publicly available","YES - PowerPC VLE languages present (VLE-32addr, VLEALT-32addr, e500) (verified locally)","Partial - QEMU ppc exists; e200/VLE guest coverage not verified in this node","High - eTPU, eQADC, eMIOS, FlexCAN","Low - firmware proprietary","High","Medium-High","Strictly a successor to C3. The unresolved question is whether a mainline toolchain can emit VLE; see uncertainties.md U-2.","C4","2","UNMEASURED","UNCERTAIN - mainline GCC VLE emission unverified; NXP S32DS fork known to work","Very High - eTPU is a programmable coprocessor","Medium","Low","Medium - gated on the VLE toolchain question","Medium-High","Medium","Partial - ArchPPC32 is native but VLE decoding through VEX is unverified","No","Medium"
"Saab Trionic 5 / Trionic 7 and other 1990s 683xx powertrain","Saab Automobile and suppliers (Motorola silicon)","1993-2003","Motorola MC68332","Motorola 68k / CPU32 core (32-bit)","Big","128 KB to 512 KB external EPROM/flash; Trionic 5 stores 256 KB split even-bytes/odd-bytes across two devices","Excellent - MC68332 datasheet and CPU32 reference manual publicly available","PARTIAL - 68000 module has no CPU32 variant; TBLS/TBLU/LPSTOP/BGND absent from the SLEIGH source (verified locally)","Partial - QEMU m68k/ColdFire and Unicorn M68K exist; CPU32-specific instructions and the TPU are not modelled","Medium-High - microcoded Time Processor Unit (TPU)","Medium - exceptional public RE literature and open-source flashers; firmware images remain OEM-copyrighted","Low-Medium - marque defunct; classic-vehicle and remanufacture niche","Medium","Best-documented real-world RE precedent in the set. The missing table lookup/interpolate instructions land squarely on calibration-map code.","C5","2","UNMEASURED - m68k decompilation generally regarded as usable","Excellent - mainline GCC m68k","Medium-High","High - published T5Suite analysis document and open-source tooling","Low for firmware; High for RE literature","Low - mainline cross-compiler","Medium - TPU is the hard part","Medium","No - no m68k VEX lifter; p-code fallback only","No","High"
"Aftermarket and body modules; MegaSquirt MS2/MS3 and FreeEMS open ECUs","Multiple module makers (Freescale/NXP silicon)","1997-2012","MC9S12 / MC9S12X (for example S12XDP512)","Freescale HCS12 / HCS12X (16-bit)","Big","128 KB to 512 KB","Excellent - NXP S12 reference manuals publicly available","YES - HC-12, HCS-12 and HCS-12X languages (verified locally)","NONE mainstream - no QEMU or Unicorn target","Medium - ECT timer, ATD converter; S12X adds the XGATE coprocessor","EXCELLENT - open-source engine-control firmware WITH matching source (FreeEMS on S12XDP512, MegaSquirt MS2/FreeMS2)","Medium - strong in body and aftermarket modules, weaker in OEM powertrain","Medium","Uniquely strong legal-example story: real automotive control firmware with source. Undermined by a dead mainline toolchain and no emulator.","C6","2","UNMEASURED - 16-bit targets generally decompile less cleanly","Poor - GCC m68hc11/m68hc12 backends obsoleted in GCC 4.6; otherwise proprietary CodeWarrior","Medium","High for the open projects","Excellent","Medium-High - no maintained mainline compiler; but open firmware needs no synthetic substitute","High - no existing engine","Medium-High","No - p-code fallback only","No","High"
"Denso engine ECUs (Toyota, Nissan, Honda and others)","Denso Corporation (NEC/Renesas silicon)","2000-2015","NEC/Renesas V850, V850E / V850ES / V850E2","V850 (32-bit RISC)","Little","512 KB to 2 MB","Good - Renesas V850 architecture manuals publicly available","PARTIAL - only V850:LE:32:default; no V850E/ES/E2 variants (verified locally)","NONE mainstream - an RH850 contribution to Unicorn is described as pending and is unverified","High","Low - firmware proprietary","Very High - Denso production volume is enormous","High","High commercial value, but running a base-variant-only language against V850E/ES/E2 firmware is an unquantified decode risk.","C7","2","UNMEASURED","Good - mainline GCC v850 backend","High","Medium","Low","Low-Medium","High","Low-Medium","No - p-code fallback only","No","Medium - specific Denso part-number-to-ECU mappings not verified in this node"
"Later OEM modules and open aftermarket ECUs (rusEFI, Speeduino on Teensy)","Multiple (ST, NXP, TI silicon)","2005-present","ARM7TDMI; Cortex-M3/M4/M7 (for example STM32F4/F7)","ARM / Thumb-2 (32-bit)","Little (typical configuration)","256 KB to 2 MB","Excellent - ARM architecture reference manuals and vendor manuals public","EXCELLENT - ARM and AARCH64 modules, the most exercised in Ghidra","EXCELLENT - QEMU Cortex-M targets; Unicorn ARM","Low-Medium for the open targets; vendor-specific for OEM modules","EXCELLENT - rusEFI (GPL) and Speeduino are real engine-control firmware with full source","Low as a LEGACY ECU vertical; High as general embedded reverse engineering","Low","Not the legacy vertical and must not be treated as the commercial target. Proposed only as a pipeline calibration control that isolates tool error from architecture error.","C8","Control","Expected best-in-class - UNMEASURED here","Excellent - arm-none-eabi-gcc","Low-Medium","Excellent","Excellent","Low","Low","High","YES - archinfo ArchARMCortexM is native","N/A - proposed as a control, not as the commercial first target","High"
"Bosch ME7.x / EDC15 (Volkswagen Group and others)","Robert Bosch GmbH (Infineon / STMicroelectronics silicon)","1996-2005","Infineon C167 (for example SAK-C167CR); STMicroelectronics ST10","Infineon C166 (16-bit)","Little","256 KB to 1 MB - external AM29F400/800 flash on C167 variants, circa 832 KB internal on ST10 variants","Good - Infineon C166/C167 user manuals publicly available","NONE - no C166, C167 or ST10 language in Ghidra 12.1.2 (verified locally)","NONE mainstream","High","Low - firmware proprietary","High - very large European installed base","Very High","DISQUALIFIED as first target: would require authoring a SLEIGH processor module, which the node contract and project scope both forbid. Strong re-entry candidate once the pipeline is proven.","C9","3","N/A - no language","None - no GCC c166 backend","High","Medium","Low","Blocked - no free compiler","Very High","Medium","No - and no p-code fallback without a SLEIGH language","YES - no Ghidra processor language","High"
"1980s-1990s engine and body controllers (multiple OEMs)","Multiple module makers (Motorola silicon)","1985-1998","Motorola MC68HC11 family","Motorola 68HC11 (8-bit)","Big","16 KB to 128 KB","Excellent - Motorola reference manuals publicly available","NONE - no 68HC11 language in Ghidra 12.1.2 (verified locally)","Third-party simulators only; no QEMU or Unicorn target","Low-Medium - simplest peripheral set in the candidate set","Low","Low-Medium - classic vehicle and industrial maintenance","High on tooling, Low on instruction set","DISQUALIFIED as first target despite having the simplest ISA: no Ghidra language and no maintained compiler. Note Ghidra covers HC05/HC08/HCS08 and HC12/HCS12 but skips HC11 and HC16.","C10","3","N/A - no language","None mainline - removed from GCC in 4.6","Low-Medium","Medium","Low","Blocked - no maintained free compiler","Medium","Medium","No - and no p-code fallback without a SLEIGH language","YES - no Ghidra processor language","High"
